"filename", "language", "JSON", "ShaderLab", "HLSL", "C#", "XML", "comment", "blank", "total"
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\b1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\b2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\b3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\b4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\b5.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\blood1.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\blood2.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\blood3.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\blood4.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\VICTUS\YZM396\Assets\Sprites\Effects\blood5.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Nature\Grass.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Nature\GrassRow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Nature\Pine_Normal.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Nature\Pine_Snow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Nature\Plant1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Nature\Plant2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Nature\Plant3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Nature\Rock1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Nature\Rock2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\Bridge.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\Crate4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\D7.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\PlankSet.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\Poison.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\Sun.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\Truss1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\Truss2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\Truss3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\Sprites\Objects\TrussEmpty.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs", "C#", 0, 0, 0, 63, 0, 29, 37, 129
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs", "C#", 0, 0, 0, 59, 0, 37, 40, 136
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs", "C#", 0, 0, 0, 65, 0, 6, 27, 98
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs", "C#", 0, 0, 0, 73, 0, 1, 19, 93
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs", "C#", 0, 0, 0, 41, 0, 26, 19, 86
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs", "C#", 0, 0, 0, 198, 0, 25, 69, 292
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs", "C#", 0, 0, 0, 31, 0, 5, 16, 52
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs", "C#", 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs", "C#", 0, 0, 0, 23, 0, 4, 9, 36
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs", "C#", 0, 0, 0, 50, 0, 4, 13, 67
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs", "C#", 0, 0, 0, 33, 0, 5, 14, 52
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs", "C#", 0, 0, 0, 24, 0, 15, 20, 59
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\SkewTextExample.cs", "C#", 0, 0, 0, 95, 0, 18, 46, 159
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_DigitValidator.cs", "C#", 0, 0, 0, 19, 0, 5, 4, 28
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_ExampleScript_01.cs", "C#", 0, 0, 0, 37, 0, 9, 19, 65
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_FrameRateCounter.cs", "C#", 0, 0, 0, 91, 0, 11, 33, 135
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_PhoneNumberValidator.cs", "C#", 0, 0, 0, 93, 0, 7, 6, 106
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventCheck.cs", "C#", 0, 0, 0, 56, 0, 1, 17, 74
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventHandler.cs", "C#", 0, 0, 0, 172, 0, 36, 56, 264
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextInfoDebugTool.cs", "C#", 0, 0, 0, 409, 0, 97, 147, 653
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_A.cs", "C#", 0, 0, 0, 100, 0, 17, 41, 158
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_B.cs", "C#", 0, 0, 0, 250, 0, 191, 107, 548
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_UiFrameRateCounter.cs", "C#", 0, 0, 0, 96, 0, 1, 28, 125
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TMPro_InstructionOverlay.cs", "C#", 0, 0, 0, 55, 0, 6, 24, 85
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TeleType.cs", "C#", 0, 0, 0, 40, 0, 15, 28, 83
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TextConsoleSimulator.cs", "C#", 0, 0, 0, 79, 0, 13, 29, 121
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshProFloatingText.cs", "C#", 0, 0, 0, 135, 0, 32, 57, 224
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshSpawner.cs", "C#", 0, 0, 0, 46, 0, 13, 21, 80
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexColorCycler.cs", "C#", 0, 0, 0, 48, 0, 13, 24, 85
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexJitter.cs", "C#", 0, 0, 0, 105, 0, 26, 44, 175
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeA.cs", "C#", 0, 0, 0, 99, 0, 23, 39, 161
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeB.cs", "C#", 0, 0, 0, 112, 0, 29, 44, 185
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexZoom.cs", "C#", 0, 0, 0, 112, 0, 32, 48, 192
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Examples & Extras\Scripts\WarpTextExample.cs", "C#", 0, 0, 0, 87, 0, 15, 43, 145
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "HLSL", 0, 0, 130, 0, 0, 18, 31, 179
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 0, 113, 0, 0, 0, 2, 31, 146
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 0, 123, 0, 0, 0, 3, 30, 156
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 0, 113, 0, 0, 0, 2, 31, 146
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "ShaderLab", 0, 253, 0, 0, 0, 4, 70, 327
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 0, 253, 0, 0, 0, 4, 65, 322
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 198, 0, 0, 0, 10, 51, 259
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 193, 0, 0, 0, 8, 52, 253
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 82, 0, 0, 0, 4, 21, 107
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "ShaderLab", 0, 290, 0, 0, 0, 15, 85, 390
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 192, 0, 0, 0, 8, 51, 251
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 104, 0, 0, 0, 8, 28, 140
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 123, 0, 0, 0, 4, 33, 160
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 253, 0, 0, 0, 4, 70, 327
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 111, 0, 0, 0, 0, 21, 132
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 0, 63, 0, 0, 2, 20, 85
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 0, 129, 0, 0, 2, 35, 166
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 0, 62, 0, 0, 6, 13, 81
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 0, 75, 0, 0, 7, 18, 100
"c:\Users\VICTUS\YZM396\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 155, 0, 0, 0, 0, 0, 2, 157
"c:\Users\VICTUS\YZM396\Packages\manifest.json", "JSON", 48, 0, 0, 0, 0, 0, 1, 49
"c:\Users\VICTUS\YZM396\Packages\packages-lock.json", "JSON", 582, 0, 0, 0, 0, 0, 1, 583
"Total", "-", 785, 2401, 459, 6105, 58, 1008, 2558, 13374
